,CHUTE_ALT_MIN,OA_DB_ALT_MIN,ADSB_LIST_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,RTL_SPEED,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG,RNGFND7_WSP_MAVG,RNGFND8_WSP_MAVG,RNGFND9_WSP_MAVG,RNGFNDA_WSP_MAVG,LGR_DEPLOY_ALT,RTL_CONE_SLOPE,EK3_GPS_VACC_MAX,LGR_RETRACT_ALT,EK2_RNG_USE_SPD,EK3_RNG_USE_SPD
16:13:48.158,20934.0,1.5673432722242207,566.4327909515347,0.3,1.4,640.0,1.217735728948868,40.4178432735819,1700.0,86.9405634239539,233.57345460818058,152.92720085710602,56.263993364468384,31.48983471326398,137.7847290245628,91.44425714074075,94.68728983752712,181.38588691825166,201.3779098574143,648.0,2.4,1.5,863.0,3.5,3.5
16:13:51.168,19754.0,1.066103993157474,16448.248290447955,0.6,1.5,130.0,1.43558117430102,87.38310663113027,1850.0,134.72868990602691,28.1728099850535,20.927591774722057,118.29455023849509,32.69021372175969,214.48286408229538,72.78410761440465,8.06997825846907,246.1056255613388,243.45944739670438,483.0,2.3,4.2,98.0,2.5,3.0
16:13:54.178,8134.0,3.0603735516879857,8405.193658208063,0.1,0.9,630.0,1.124886627523558,8.020676722227916,1150.0,154.47225396975827,183.78383076061843,157.47986943001428,34.522167144400235,120.37481334015521,1.4195106252089762,77.5434587771162,171.58808786117203,68.85816664367711,171.3756382555808,163.0,3.3,3.7,834.0,2.5,3.5
16:13:57.185,30498.0,0.6929790571538361,10768.801754641652,0.6,0.1,810.0,1.8414597836394118,96.88270015746954,150.0,132.42835628413303,46.46475883577809,141.41631309450523,190.33546472195107,225.0946753312447,140.0314144633091,189.22528037999265,139.37122171357794,243.94278140939744,71.41385629531932,104.0,5.1,4.6,937.0,5.0,6.0
16:14:00.192,14772.0,3.693637034070055,25389.031232923975,0.4,0.9,100.0,1.0036641058598288,59.7440290429049,350.0,240.6896859646811,44.29419303983409,125.85817011281354,29.785502824692106,93.24446951658551,2.5312877001365135,203.83092848108475,142.51828517854597,148.98520806470214,245.6634313962591,266.0,8.2,7.6,788.0,4.5,5.0
16:14:03.201,22186.0,1.522670614758137,15403.886707505037,0.8,2.0,130.0,2.0921327693220193,7.423507298314107,200.0,172.81965948824836,235.2329344542731,193.88971786322242,1.239130910462014,55.59160017129364,159.5598681577482,69.85423862244944,50.34026758869864,180.11911443647512,164.9774114756357,345.0,7.3,5.8,59.0,3.5,3.0
16:14:06.210,16634.0,2.758936096521781,23867.934190566582,0.1,1.2,330.0,1.1620001898206533,50.949143053360615,1300.0,89.58948261471454,39.725999620582755,139.04722703353838,176.20841650429645,117.66271966270591,81.40776515919256,92.34153179593137,116.42679831778108,183.2618964481987,3.97695660593958,40.0,1.1,7.6,285.0,6.0,5.0
16:14:09.216,2544.0,3.0631447618444296,29094.564483424467,0.3,0.1,540.0,2.3492387789082185,82.35912183561899,1000.0,177.88188972860954,52.414850502720135,136.91732406318522,17.92595871482221,73.37690752894967,212.93305272092618,89.68959638534517,40.455907858681734,4.902728962150759,231.055038267783,560.0,1.6,7.2,270.0,3.0,4.5
16:14:15.806,15887.0,0.6797502031275111,2249.136256031478,0.7,0.3,360.0,2.6072116889011845,75.30081323721761,1600.0,59.328260442163405,208.81316539659502,234.81669905384624,77.99684052190514,105.09991503022698,246.47506114516213,30.654995435945356,14.026398195394798,0.5848288950540037,30.416222141537745,194.0,5.3,2.8,560.0,3.0,4.5
16:14:18.815,26293.0,2.2533850721652535,6430.680089396324,1.0,0.1,700.0,1.6001252319754378,28.79362753283979,1600.0,36.16782791233022,93.09976638579029,172.15957336459684,3.720362915167834,126.13079183271881,196.43358805876971,30.11458080664664,229.31018694589716,93.71770353541132,166.0410210645836,925.0,6.1,8.9,385.0,3.0,6.0
