,A.RTL1,A.RTL2,A.RTL3,A.RTL4,A.FLIP1,A.FLIP2,A.FLIP3,A.FLIPGeneral,A.ALTHOLD1,A.ALTHOLD2,A.CIRCLE1,A.CIRCLE2,A.CIRCLE3,A.CIRCLE4,A.CIRCLE5,A.CIRCLE6,A.CIRCLE7,A.LAND1,A.LAND2,A.AUTO1,A.BRAKE1,A.DRIFT1,A.LOITER1,A.GUIDED1,A.SPORT1,A.RC.FS1,A.RC.FS2,A.CHUTE1,A.GPS.FS1,A.GPS.FS2
0,"('EK2_WIND_PSCALE', 0.0689880852174416)","('RTL_ALT', 0.07115881035306892)","('RTL_ALT_FINAL', 0.22692455179223303)","('H_RSC_THRCRV_0', 0.016687187099542422)","('H_RSC_THRCRV_0', 0.05858134323680475)","('H_RSC_SLEWRATE', 0.11752781595207085)","('CAN_SLCAN_TIMOUT', 0.04341061591046247)","('SID_T_REC', 0.06902456241423571)","('FOLL_OFS_TYPE', 0.02775585871951236)","('H_COL_LAND_MIN', 0.015696004408433106)","('MOT_SLEW_DN_TIME', 0.17144522296292308)","('AROT_HS_P', 0.005099418209872697)","('GPS_MB1_TYPE', 0.019185197552158084)","('COMPASS_ORIENT', 0.018259609152490808)","('GPS_MB1_TYPE', 0.012634564742072474)","('COMPASS_ORIENT', 0.026780525204347594)","('BRD_RADIO_STKMD', 0.13856099697885282)","('LAND_SPEED_HIGH', 0.43147262482080073)","('LAND_SPEED', 0.38901999393531006)","('BRD_RADIO_STKMD', 0.030686866752721698)","('LOIT_BRK_DELAY', 0.27901254834403955)","('FS_EKF_ACTION', 0.3640239648051897)","('WPNAV_SPEED', 0.10223048659005207)","('AVOID_MARGIN', 0.12611910705421492)","('PILOT_SPEED_UP', 0.0916681797561113)","('FS_DR_ENABLE', 0.0774923536228902)","('FS_THR_VALUE', 0.8233420237488048)","('CHUTE_ALT_MIN', 0.12637239429413372)","('CAM_TRIGG_TYPE', 0.07024868943977736)","('PILOT_TKOFF_ALT', 0.3512583787253514)"
1,"('EK3_WIND_PSCALE', 0.0689880852174416)","('CHUTE_ALT_MIN', 0.021465303714798156)","('RTL_ALT', 0.09612997509262555)","('H_RSC_THRCRV_100', 0.016570074739721385)","('H_RSC_THRCRV_100', 0.058170213469575405)","('H_RSC_THRCRV_0', 0.051302757428118406)","('EK3_BETA_MASK', 0.016420491398948633)","('CAN_SLCAN_TIMOUT', 0.05511050271540208)","('INS_HNTC2_ATT', 0.017326668255480127)","('RALLY_INCL_HOME', 0.015100711741643402)","('ADSB_LIST_RADIUS', 0.07261468641342994)","('COMPASS_ORIENT', 0.003238216056782539)","('GPS_MB2_TYPE', 0.019185197552158084)","('COMPASS_ORIENT2', 0.0166137374466252)","('GPS_MB2_TYPE', 0.012634564742072474)","('COMPASS_ORIENT2', 0.02436660120772982)","('PILOT_TKOFF_ALT', 0.11087624110385585)","('PLND_TIMEOUT', 0.09185883845683329)","('LAND_ALT_LOW', 0.16168000259068083)","('IM_ACRO_COL_EXP', 0.028115273964925525)","('SCR_DIR_DISABLE', 0.014734929414317643)","('FS_DR_ENABLE', 0.12153493399166915)","('WPNAV_SPEED_DN', 0.10223048659005207)","('THROW_NEXTMODE', 0.050794900866869)","('PILOT_SPEED_DN', 0.0807196883788297)","('OSD_DSARM_SCR', 0.012261583981305169)","('RCMAP_THROTTLE', 0.0016608200629715242)","('WPNAV_SPEED_UP', 0.08711432395600882)","('INS_HNTC2_OPTS', 0.06077079864642321)","('COMPASS_USE2', 0.026414748097154606)"
2,"('RTL_ALT', 0.04896734983572548)","('EK2_WIND_PSCALE', 0.01325438709479676)","('MOT_BOOST_SCALE', 0.011322780080966655)","('TMODE_FLAGS', 0.015670504690564635)","('H_RSC_THRCRV_25', 0.043445792895113855)","('H_RSC_THRCRV_100', 0.05094270950920354)","('H_COL_LAND_MIN', 0.011733931298576916)","('H_RSC_CLDWN_TIME', 0.024467711640713707)","('INS_HNTCH_ATT', 0.017326668255480127)","('CAM_DURATION', 0.013284875371781912)","('ZIGZ_SPRAYER', 0.06750337121304528)","('BRD_RADIO_STKMD', 0.0031979985725181237)","('EK3_OGNM_TEST_SF', 0.008801352789975847)","('COMPASS_ORIENT3', 0.01659421341282985)","('TMODE_ACTION4', 0.006486367936359927)","('COMPASS_ORIENT3', 0.0243379662093145)","('ARMING_CHECK', 0.05741801438240568)","('FOLL_OFS_Z', 0.0012738337967155289)","('PLND_TIMEOUT', 0.11695716040660642)","('BTN_ENABLE', 0.027901680758263492)","('WPNAV_TER_MARGIN', 0.014140341468878437)","('FFT_HMNC_FIT', 0.08948510124480091)","('AHRS_COMP_BETA', 0.08326884778084331)","('OSD1_HEADING_EN', 0.005576242736037296)","('ACRO_BAL_PITCH', 0.05702963740491329)","('DISARM_DELAY', 0.00940235416711488)","('EK2_GYRO_P_NSE', 0.0015704055076082302)","('LGR_DEPLOY_ALT', 0.06046068269112159)","('INS_HNTCH_OPTS', 0.06077079864642321)","('TMODE_MODE2', 0.01431507107127894)"
3,"('MOT_BOOST_SCALE', 0.006006256257673481)","('EK3_WIND_PSCALE', 0.01325438709479676)","('GPS_AUTO_SWITCH', 0.010039941559884746)","('H_RSC_THRCRV_25', 0.01237575027595561)","('H_RSC_THRCRV_50', 0.04278331401293567)","('H_RSC_THRCRV_25', 0.03804776147177791)","('RALLY_INCL_HOME', 0.011313334663532015)","('COMPASS_ORIENT', 0.013981751820073218)","('GPS1_CAN_OVRIDE', 0.012971079933958074)","('WPNAV_SPEED', 0.012378125240539273)","('H_OPTIONS', 0.04229012219900352)","('COMPASS_ORIENT2', 0.0029463320333716903)","('AROT_HS_P', 0.0069818588156181915)","('GPS_MB1_TYPE', 0.01247820663458099)","('BRD_RADIO_STKMD', 0.006238221127548571)","('GPS_MB1_TYPE', 0.018548656608310066)","('AFS_AMSL_ERR_GPS', 0.05552763963755469)","('RNGFND1_PWRRNG', 0.001264682228857672)","('FOLL_OFS_Z', 0.0016218796818754377)","('PILOT_TKOFF_ALT', 0.024056514989784117)","('LOIT_BRK_ACCEL', 0.013738290721095003)","('CAM_RC_CONTROL', 0.05151061662837797)","('ATC_ANG_LIM_TC', 0.07404339573207264)","('OSD2_HEADING_EN', 0.005576242736037296)","('ACRO_BAL_ROLL', 0.05702795586667242)","('THROW_MOT_START', 0.007121637770938993)","('EK3_GYRO_P_NSE', 0.0015704055076082302)","('SPRAY_ENABLE', 0.021026099886256477)","('CAM_FEEDBACK_PIN', 0.051052582345258446)","('OSD1_BTEMP_EN', 0.014160460003508568)"
4,"('GPS_AUTO_SWITCH', 0.005325764643446584)","('RTL_ALT_TYPE', 0.009037572735675403)","('OSD1_HOMEDIST_EN', 0.004294324098861546)","('H_RSC_THRCRV_50', 0.012187039870123595)","('TMODE_FLAGS', 0.041493712379423564)","('H_RSC_THRCRV_50', 0.03746759393863941)","('CAM_DURATION', 0.009952924313481826)","('COMPASS_ORIENT2', 0.012721474585937753)","('GPS2_CAN_OVRIDE', 0.012966623989804082)","('WPNAV_SPEED_DN', 0.012378125240539273)","('H_RSC_GOV_TORQUE', 0.039256133965480444)","('COMPASS_ORIENT3', 0.002942869580303764)","('EK2_GPS_CHECK', 0.005981918993904434)","('GPS_MB2_TYPE', 0.01247820663458099)","('EK3_OGNM_TEST_SF', 0.005796201021149305)","('GPS_MB2_TYPE', 0.018548656608310066)","('H_RSC_RUNUP_TIME', 0.04919533001650189)","('RNGFND2_PWRRNG', 0.001264682228857672)","('RNGFND1_PWRRNG', 0.0016102276578796593)","('TMODE_FLAGS', 0.014303437126033658)","('CHUTE_DELAY_MS', 0.012360681119479522)","('ESC_CALIBRATION', 0.04155475283125665)","('WPNAV_SPEED_UP', 0.060701441032185)","('OSD3_HEADING_EN', 0.005576242736037296)","('RTL_CLIMB_MIN', 0.0040941010391986055)","('FS_CRASH_CHECK', 0.006709825807366232)","('EK2_ACC_P_NSE', 0.001569787500873221)","('ZIGZ_AUTO_ENABLE', 0.015248060894837434)","('FS_DR_TIMEOUT', 0.03917894490477325)","('OSD2_BTEMP_EN', 0.014160460003508568)"
5,"('AFS_QNH_PRESSURE', 0.0020981400435434727)","('RTL_OPTIONS', 0.007825864387191128)","('OSD2_HOMEDIST_EN', 0.004294324098861546)","('PLND_TYPE', 0.010978407368400278)","('SCHED_LOOP_RATE', 0.0375974297651277)","('TMODE_FLAGS', 0.032230125957598)","('SERVO_ROB_POSMAX', 0.0027230119995153013)","('COMPASS_ORIENT3', 0.012706524638610106)","('EK2_GLITCH_RAD', 0.012319650313882158)","('WPNAV_SPEED_UP', 0.007349764873864073)","('OA_DB_RADIUS_MIN', 0.03862725524303334)","('MNT_LEAD_PTCH', 0.002691282057595057)","('EK3_GPS_CHECK', 0.005981918993904434)","('EK3_OGNM_TEST_SF', 0.0057244705705316035)","('AROT_HS_P', 0.004597958764100185)","('TMODE_ACTION4', 0.009522560843434058)","('PILOT_THR_BHV', 0.04123700477045433)","('RNGFND3_PWRRNG', 0.001264682228857672)","('RNGFND2_PWRRNG', 0.0016102276578796593)","('FOLL_DIST_MAX', 0.013273599227748512)","('GUID_TIMEOUT', 0.010604882994828868)","('CAM_DURATION', 0.03080036351225046)","('MOT_BAT_CURR_TC', 0.057314308803463776)","('OSD4_HEADING_EN', 0.005576242736037296)","('OSD1_VSPEED_EN', 0.0031194537466840977)","('NTF_LED_OVERRIDE', 0.005427829553557473)","('EK3_ACC_P_NSE', 0.001569787500873221)","('CHUTE_SERVO_ON', 0.011772637295934252)","('CAM_TRIGG_DIST', 0.03442011232389186)","('OSD3_BTEMP_EN', 0.014160460003508568)"
6,"('PSC_POSZ_P', 0.0019959129932096698)","('WP_YAW_BEHAVIOR', 0.007685138626811305)","('OSD3_HOMEDIST_EN', 0.004294324098861546)","('SCHED_LOOP_RATE', 0.010709814939142914)","('H_RSC_THRCRV_75', 0.028452667294676992)","('H_RSC_THRCRV_75', 0.024917494337765356)","('SERVO_ROB_POSMIN', 0.002712054231712502)","('SERVO_ROB_POSMAX', 0.0034569092616166808)","('EK3_GLITCH_RAD', 0.012319650313882158)","('RTL_SPEED', 0.006425736798018722)","('CIRCLE_RADIUS', 0.035238490506949494)","('MNT2_LEAD_PTCH', 0.002691282057595057)","('ZIGZ_LINE_NUM', 0.005364301902798574)","('EK2_GPS_CHECK', 0.003890688176357515)","('EK2_GPS_CHECK', 0.003939440425611673)","('BRD_RADIO_STKMD', 0.009158259418014847)","('ATC_RAT_RLL_D', 0.004452801821215657)","('RNGFND4_PWRRNG', 0.001264682228857672)","('RNGFND3_PWRRNG', 0.0016102276578796593)","('COMPASS_ORIENT', 0.010005124736223725)","('SERVO_ROB_POSMAX', 0.007201030095073446)","('TMODE_FLAGS', 0.021714114750293945)","('RTL_SPEED', 0.05306992672926225)","('COMPASS_USE', 0.003830595649444768)","('OSD2_VSPEED_EN', 0.0031194537466840977)","('AUTO_OPTIONS', 0.005353819784021274)","('BTN_OPTIONS1', 0.00156372248143688)","('CHUTE_SERVO_OFF', 0.011772637295934252)","('OSD1_SATS_EN', 0.02257838839897175)","('OSD4_BTEMP_EN', 0.014160460003508568)"
7,"('PILOT_TKOFF_ALT', 0.001838030298342952)","('ZIGZ_SIDE_DIST', 0.007640739535983654)","('OSD4_HOMEDIST_EN', 0.004294324098861546)","('OSD_DSARM_SCR', 0.010401022743000587)","('ZIGZ_SPRAYER', 0.02420526543077539)","('COMPASS_ORIENT', 0.01860048222345001)","('EK2_BCN_DELAY', 0.002611790222708188)","('SERVO_ROB_POSMIN', 0.003442998192179192)","('FOLL_ALT_TYPE', 0.010367006317826055)","('FENCE_MARGIN', 0.00595330895265489)","('FENCE_RADIUS', 0.03467058822065916)","('MNT_LEAD_RLL', 0.0022952406861905805)","('COMPASS_ORIENT', 0.004649144640395231)","('EK3_GPS_CHECK', 0.003890688176357515)","('EK3_GPS_CHECK', 0.003939440425611673)","('EK3_OGNM_TEST_SF', 0.008509334873723406)","('ATC_RAT_YAW_D', 0.0041364926038692795)","('RNGFND5_PWRRNG', 0.001264682228857672)","('RNGFND4_PWRRNG', 0.0016102276578796593)","('PILOT_THR_BHV', 0.009132688839308845)","('SERVO_ROB_POSMIN', 0.007172052178069377)","('PLND_TYPE', 0.02029794870461532)","('FENCE_MARGIN', 0.049168162320540554)","('EK3_MAG_CAL', 0.003519439017962145)","('OSD3_VSPEED_EN', 0.0031194537466840977)","('H_RSC_IDLE', 0.004687999894205319)","('BTN_OPTIONS4', 0.0015168942522311157)","('FENCE_ENABLE', 0.011228210308382058)","('OSD2_SATS_EN', 0.02257838839897175)","('OSD1_ASPD2_EN', 0.014142456338273712)"
8,"('AFS_AMSL_LIMIT', 0.0016678058746282254)","('ZIGZ_DIRECTION', 0.007632952645175384)","('OSD1_HOME_EN', 0.004290406691808024)","('LAND_REPOSITION', 0.010375012751646095)","('GPS_SBAS_MODE', 0.015491284908721203)","('COMPASS_ORIENT2', 0.016923885142353212)","('EK2_FLOW_DELAY', 0.0026080724036704472)","('EK2_BCN_DELAY', 0.0033157113563534457)","('FOLL_YAW_BEHAVE', 0.009619298205209015)","('AROT_TARG_SP', 0.005478753730385866)","('CIRCLE_OPTIONS', 0.0249217412095023)","('MNT2_LEAD_RLL', 0.0022952406861905805)","('BRD_RADIO_STKMD', 0.0045759214295451045)","('ZIGZ_LINE_NUM', 0.0034889850579551407)","('ZIGZ_LINE_NUM', 0.0035327037682396645)","('EK2_GPS_CHECK', 0.005783446377083501)","('ATC_RAT_PIT_D', 0.004041785782205376)","('RNGFND6_PWRRNG', 0.001264682228857672)","('RNGFND5_PWRRNG', 0.0016102276578796593)","('INS_GYRO_RATE', 0.009118918916292351)","('GPS_RAW_DATA', 0.006983562595312409)","('LAND_REPOSITION', 0.018976433784517854)","('EK2_TAU_OUTPUT', 0.04593795356493513)","('EK2_MAG_MASK', 0.0034667122521909732)","('OSD4_VSPEED_EN', 0.0031194537466840977)","('TMODE_FLAGS', 0.004649913690226382)","('CAM_RC_MDE_DELAY', 0.0015103770515290105)","('AROT_ENABLE', 0.010877162346785707)","('OSD3_SATS_EN', 0.02257838839897175)","('OSD2_ASPD2_EN', 0.014142456338273712)"
9,"('ADSB_LIST_ALT', 0.0016250245964503085)","('BRD_SAFETY_MASK', 0.007476948840935971)","('OSD2_HOME_EN', 0.004290406691808024)","('PLND_STRICT', 0.010073262673812367)","('MOT_BOOST_SCALE', 0.01308949496710865)","('COMPASS_ORIENT3', 0.0169039966310216)","('EK3_FLOW_DELAY', 0.0026080724036704472)","('EK2_FLOW_DELAY', 0.0033109915229238007)","('FOLL_POS_P', 0.009423660455584404)","('ATC_ANG_LIM_TC', 0.004953158181509987)","('OA_DB_ALT_MIN', 0.019340635295385877)","('EK2_CHECK_SCALE', 0.002223473450718383)","('COMPASS_ORIENT2', 0.004230083336497659)","('BRD_RADIO_STKMD', 0.0029762160637771817)","('TMODE_ACTION1', 0.0033501147916895624)","('EK3_GPS_CHECK', 0.005783446377083501)","('RCMAP_ROLL', 0.00328920484243711)","('RNGFND7_PWRRNG', 0.001264682228857672)","('RNGFND6_PWRRNG', 0.0016102276578796593)","('COMPASS_ORIENT2', 0.009103289895210032)","('EK2_BCN_DELAY', 0.006906903090800887)","('PLND_STRICT', 0.0186244290432952)","('EK3_TAU_OUTPUT', 0.04593795356493513)","('EK3_MAG_MASK', 0.0034667122521909732)","('PSC_POSZ_P', 0.0029616540382202405)","('TERRAIN_OFS_MAX', 0.003991955025728133)","('BTN_OPTIONS2', 0.0014614636406526937)","('BRD_RADIO_SIGCH', 0.0062555284717569215)","('OSD4_SATS_EN', 0.02257838839897175)","('OSD3_ASPD2_EN', 0.014142456338273712)"
