,A.RTL1,A.RTL2,A.RTL3,A.RTL4,A.FLIP1,A.FLIP2,A.FLIP3,A.FLIPGeneral,A.ALT_HOLD1,A.ALT_HOLD2,A.CIRCLE1,A.CIRCLE2,A.CIRCLE3,A.CIRCLE4,A.CIRCLE5,A.CIRCLE6,A.CIRCLE7,A.LAND1,A.LAND2,A.AUTO1,A.BRAKE1,A.DRIFT1,A.LOITER1,A.GUIDED1,A.SPORT1,A.RC.FS1,A.RC.FS2,A.CHUTE1,A.GPS.FS1,A.GPS.FS2
0,"('RTL_ALT', 0.4576311070278485)","('RTL_ALT', 0.1607295101641426)","('CHUTE_ALT_MIN', 0.004454105287990839)","('DISARM_DELAY', 0.14246503594694027)","('H_RSC_THRCRV_0', 0.07225644329900738)","('H_RSC_THRCRV_0', 0.17732094112658803)","('CAN_SLCAN_TIMOUT', 0.051874433381600915)","('SID_T_REC', 0.14416908505375692)","('FOLL_OFS_TYPE', 0.028060832329158014)","('WPNAV_SPEED', 0.018785908457365608)","('ZIGZ_SPRAYER', 0.10758138621184554)","('ADSB_LIST_RADIUS', 0.22022577519394426)","('CIRCLE_RATE', 0.14192970648035874)","('COMPASS_ORIENT', 0.083682257757145)","('GPS_MB1_TYPE', 0.018853311530007244)","('COMPASS_ORIENT', 0.08283388032633587)","('ARMING_CHECK', 0.05388518964348443)","('LAND_SPEED_HIGH', 0.5427386018365937)","('LAND_SPEED', 0.44952675024338773)","('IM_ACRO_COL_EXP', 0.028411237018099444)","('LOIT_BRK_DELAY', 0.30876066246094247)","('FS_EKF_ACTION', 0.3570689061728056)","('WPNAV_SPEED', 0.1253110003004293)","('AVOID_MARGIN', 0.15995092248899223)","('PILOT_SPEED_UP', 0.09676846281258755)","('FS_THR_VALUE', 0.5288596952896151)","('FS_THR_VALUE', 0.8337891307289818)","('CHUTE_ALT_MIN', 0.2364395249260144)","('CAM_FEEDBACK_POL', 0.06704109936286717)","('RALLY_INCL_HOME', 0.07356649544335936)"
1,"('EK2_WIND_PSCALE', 0.06369659801159155)","('RTL_ALT_TYPE', 0.01111692782157625)","('RTL_ALT', 0.004309664107046918)","('OSD_DSARM_SCR', 0.07089743643765556)","('H_RSC_THRCRV_100', 0.07225644329900738)","('H_RSC_THRCRV_100', 0.17732094112658803)","('H_COL_LAND_MIN', 0.008989584010298812)","('CAN_SLCAN_TIMOUT', 0.11670169828805865)","('INS_HNTC2_ATT', 0.01824284392604869)","('WPNAV_SPEED_DN', 0.017783094617215722)","('ADSB_LIST_RADIUS', 0.08599792232894354)","('CIRCLE_OPTIONS', 0.11535016003544407)","('H_TAIL_TYPE', 0.0667361059529672)","('COMPASS_ORIENT2', 0.07416231210476742)","('GPS_MB2_TYPE', 0.018853311530007244)","('COMPASS_ORIENT2', 0.07341044864538393)","('AFS_AMSL_ERR_GPS', 0.05194285449506153)","('PLND_XY_DIST_MAX', 0.09723756041804521)","('LAND_ALT_LOW', 0.1829853462205112)","('BTN_ENABLE', 0.028320982997390387)","('WPNAV_TER_MARGIN', 0.015683362530046985)","('FS_DR_ENABLE', 0.13411456717902503)","('WPNAV_SPEED_DN', 0.11862175204238046)","('THROW_NEXTMODE', 0.06804930774842477)","('PILOT_SPEED_DN', 0.09244582413621505)","('FS_DR_ENABLE', 0.21168469773072351)","('RALLY_INCL_HOME', 0.045088184555095)","('WPNAV_SPEED_UP', 0.149852047709788)","('INS_HNTC2_OPTS', 0.06575784065159929)","('BRD_HEAT_LOWMGN', 0.05537187034444013)"
2,"('EK3_WIND_PSCALE', 0.06369659801159155)","('ARMING_ACCTHRESH', 0.007808555096871506)","('OA_DB_ALT_MIN', 0.002898802058224015)","('FS_CRASH_CHECK', 0.06840498194068367)","('TMODE_FLAGS', 0.06862664535182217)","('H_RSC_THRCRV_25', 0.15774288568625883)","('RALLY_INCL_HOME', 0.006191198488249006)","('H_RSC_CLDWN_TIME', 0.04655947743937605)","('INS_HNTCH_ATT', 0.01824284392604869)","('H_COL_LAND_MIN', 0.014522032125654283)","('H_RSC_GOV_TORQUE', 0.05741616512367409)","('OA_DB_RADIUS_MIN', 0.10481191299698855)","('GPS_MB1_TYPE', 0.02807795142100833)","('COMPASS_ORIENT3', 0.07407250307646407)","('COMPASS_CUS_ROLL', 0.012361870041242895)","('COMPASS_ORIENT3', 0.07332155010820185)","('H_RSC_RUNUP_TIME', 0.04768321245103435)","('PLND_TIMEOUT', 0.05917722408093562)","('PLND_XY_DIST_MAX', 0.13029378037067785)","('TMODE_FLAGS', 0.015783432740953285)","('LOIT_BRK_ACCEL', 0.015166313606941206)","('FFT_HMNC_FIT', 0.10194190455234642)","('ATC_ANG_LIM_TC', 0.11578094620464818)","('COMPASS_USE', 0.01003912994178946)","('FRSKY_DNLINK_ID', 0.017985598347931897)","('DISARM_DELAY', 0.048313185042945905)","('BRD_HEAT_LOWMGN', 0.03393687702811832)","('LGR_DEPLOY_ALT', 0.11161039848702203)","('INS_HNTCH_OPTS', 0.06575784065159929)","('COMPASS_USE2', 0.04843963276548091)"
3,"('H_COLYAW', 0.05354084734700271)","('RTL_OPTIONS', 0.007700584966067847)","('ADSB_LIST_ALT', 0.00241435049213079)","('ARMING_ACCTHRESH', 0.03967626355760967)","('H_RSC_THRCRV_25', 0.06427858888519011)","('H_RSC_THRCRV_50', 0.15774288568625883)","('OA_OPTIONS', 0.005128801539668548)","('COMPASS_ORIENT', 0.029596563363595618)","('FOLL_ALT_TYPE', 0.010366948414156418)","('ATC_ANG_LIM_TC', 0.01237601887431583)","('CIRCLE_OPTIONS', 0.04504411027557187)","('FENCE_RADIUS', 0.09816877360593868)","('GPS_MB2_TYPE', 0.02807795142100833)","('CIRCLE_RATE', 0.06708038534084004)","('TMODE_TRIM_AUTO', 0.009769439347397602)","('CIRCLE_RATE', 0.06682904009020962)","('BRD_RADIO_STKMD', 0.024966244774027424)","('RNGFND1_SCALING', 0.00132136788908932)","('PLND_TIMEOUT', 0.0792947108524632)","('ADSB_LIST_ALT', 0.0132259233891866)","('AVOID_BEHAVE', 0.012050678943189785)","('CAM_RC_CONTROL', 0.05049916887350048)","('FENCE_MARGIN', 0.07768471724884396)","('COMPASS_USE2', 0.008696465425387379)","('FRSKY_DNLINK1_ID', 0.01716468520293024)","('OSD_DSARM_SCR', 0.024042958631327993)","('BRD_SAFETYENABLE', 0.028517016343282964)","('DID_BARO_ACC', 0.03513725736286688)","('CAM_TRIGG_TYPE', 0.05836492960007755)","('BRD_SAFETYENABLE', 0.04652875190201611)"
4,"('ARMING_ACCTHRESH', 0.011518276827259144)","('WP_YAW_BEHAVIOR', 0.007616394087812561)","('EK2_WIND_PSCALE', 0.0021059111711883016)","('SERVO_BLH_AUTO', 0.033721623101258924)","('H_RSC_THRCRV_50', 0.06427858888519011)","('H_RSC_THRCRV_75', 0.08602360672750742)","('CAM_DURATION', 0.0045965145505600935)","('COMPASS_ORIENT2', 0.02622956918501751)","('FOLL_YAW_BEHAVE', 0.009718047216296544)","('FENCE_MARGIN', 0.01164604849753248)","('OA_DB_RADIUS_MIN', 0.04092893642955775)","('CIRCLE_RADIUS', 0.0953356735801203)","('TMODE_TRIM_AUTO', 0.014549478109992853)","('H_TAIL_TYPE', 0.0315829072994962)","('BRD_RADIO_STKMD', 0.00938179012770668)","('H_TAIL_TYPE', 0.0314645684779391)","('EK2_MAG_CAL', 0.023300019446961473)","('RNGFND2_SCALING', 0.00132136788908932)","('RNGFND1_SCALING', 0.0017705711331064133)","('ADSB_LIST_RADIUS', 0.01093091019414083)","('SCR_DIR_DISABLE', 0.011697899554373503)","('ESC_CALIBRATION', 0.04318629108160155)","('AHRS_COMP_BETA', 0.07625940480722992)","('COMPASS_USE3', 0.008145069691250395)","('FRSKY_DNLINK2_ID', 0.017157750413581363)","('FS_CRASH_CHECK', 0.017487504256880837)","('AVD_F_RCVRY', 0.027712782755544674)","('CHUTE_SERVO_ON', 0.020146220841593232)","('CAM_FEEDBACK_PIN', 0.04830812578011889)","('AVD_F_RCVRY', 0.045216553436907114)"
5,"('MOT_BOOST_SCALE', 0.009267823101916095)","('ZIGZ_SIDE_DIST', 0.007516617988425844)","('EK3_WIND_PSCALE', 0.0021059111711883016)","('ARMING_RUDDER', 0.03195703115046722)","('SCHED_LOOP_RATE', 0.05852706447074252)","('COMPASS_ORIENT', 0.04634198408932455)","('FFT_NUM_FRAMES', 0.0037299626267639496)","('COMPASS_ORIENT3', 0.026197805718447098)","('FOLL_SYSID', 0.009707345358288877)","('WPNAV_SPEED_UP', 0.010442377172954487)","('FENCE_RADIUS', 0.038334797823989186)","('OA_DB_ALT_MIN', 0.07107745469116922)","('AROT_HS_P', 0.011718663807704477)","('GPS_MB1_TYPE', 0.026541022983983642)","('AHRS_CUSTOM_ROLL', 0.008110497742159661)","('GPS_MB1_TYPE', 0.026441575730662192)","('EK3_MAG_CAL', 0.017779443490171354)","('RNGFND3_SCALING', 0.00132136788908932)","('RNGFND2_SCALING', 0.0017705711331064133)","('FOLL_DIST_MAX', 0.007609974240119444)","('CHUTE_DELAY_MS', 0.009814769629457265)","('TMODE_FLAGS', 0.04005881918156118)","('COMPASS_USE', 0.06973555032010459)","('AHRS_YAW_P', 0.006726532258854112)","('FRSKY_UPLINK_ID', 0.013468054873140844)","('MOT_SAFE_TIME', 0.013057903675561033)","('NTF_LED_OVERRIDE', 0.026829989617942807)","('CHUTE_SERVO_OFF', 0.020146220841593232)","('RALLY_INCL_HOME', 0.040183458009213746)","('NTF_LED_OVERRIDE', 0.04465169966409177)"
6,"('GPS_AUTO_SWITCH', 0.0080971707423112)","('ZIGZ_DIRECTION', 0.007509600344987488)","('AFS_QNH_PRESSURE', 0.001970226041098533)","('MOT_BOOST_SCALE', 0.03192427109641083)","('ZIGZ_SPRAYER', 0.038699493381893046)","('COMPASS_ORIENT2', 0.042569477304753134)","('EK3_BETA_MASK', 0.0034877346085050442)","('SERVO_ROB_POSMAX', 0.007247187712387859)","('FOLL_OFS_Z', 0.009572944939073569)","('RTL_SPEED', 0.010375978662221952)","('CIRCLE_RADIUS', 0.03722847538849827)","('AROT_HS_P', 0.03837705806086533)","('BRD_RADIO_STKMD', 0.009298231419363368)","('GPS_MB2_TYPE', 0.026541022983983642)","('AROT_HS_P', 0.007868651675092098)","('GPS_MB2_TYPE', 0.026441575730662192)","('PILOT_TKOFF_ALT', 0.013106595376365493)","('RNGFND4_SCALING', 0.00132136788908932)","('RNGFND3_SCALING', 0.0017705711331064133)","('COMPASS_ORIENT', 0.006139603851194719)","('GUID_TIMEOUT', 0.009705482186378678)","('CAM_DURATION', 0.030267036982590922)","('WPNAV_SPEED_UP', 0.06965565343975899)","('OSD1_HEADING_EN', 0.0036883628146787695)","('ACRO_BAL_PITCH', 0.012026890728772388)","('AUTO_OPTIONS', 0.012416877812018723)","('AFS_DUAL_LOSS', 0.023663736645115785)","('EK3_DRAG_MCOEF', 0.016994923026807274)","('FS_DR_TIMEOUT', 0.033916851408723026)","('AFS_DUAL_LOSS', 0.03879452275187045)"
7,"('ADSB_LIST_ALT', 0.0033183084972014942)","('BRD_SAFETY_MASK', 0.007423096431367626)","('PILOT_TKOFF_ALT', 0.0019570191884680233)","('GPS_AUTO_SWITCH', 0.02789180059317531)","('H_RSC_THRCRV_75', 0.035053727001397195)","('COMPASS_ORIENT3', 0.04102024552191108)","('SERVO_ROB_POSMAX', 0.0032214077575998257)","('SERVO_ROB_POSMIN', 0.0072263420313429805)","('FOLL_POS_P', 0.009521756342125376)","('RALLY_INCL_HOME', 0.009902746429938825)","('OA_DB_ALT_MIN', 0.02775566766645332)","('BRD_RADIO_STKMD', 0.028746401770308183)","('EK2_GPS_CHECK', 0.008689426525935517)","('TMODE_TRIM_AUTO', 0.01375307005600701)","('TMODE_ACTION4', 0.006780277399387913)","('COMPASS_CUS_ROLL', 0.0173373957327273)","('COMPASS_CUS_ROLL', 0.013048787397132666)","('RNGFND5_SCALING', 0.00132136788908932)","('RNGFND4_SCALING', 0.0017705711331064133)","('INS_GYRO_RATE', 0.00591170372846761)","('SERVO_ROB_POSMAX', 0.0072569801023461)","('PLND_TYPE', 0.019884770995847623)","('RTL_SPEED', 0.06921274359500851)","('OSD2_HEADING_EN', 0.0036883628146787695)","('ACRO_BAL_ROLL', 0.012025818772819497)","('COMPASS_LEARN', 0.011734541856654568)","('EK3_IMU_MASK', 0.02168769927037617)","('ADSB_LIST_ALT', 0.013943991175065285)","('CAM_TRIGG_DIST', 0.033497155112085286)","('EK3_IMU_MASK', 0.03538594523808081)"
8,"('CHUTE_ALT_MIN', 0.0032644395684876537)","('RCMAP_PITCH', 0.00727688274181415)","('PSC_POSZ_P', 0.0018821955011386615)","('MOT_SPIN_ARM', 0.02773956481526041)","('GPS_SBAS_MODE', 0.01936338079344202)","('AHRS_ORIENTATION', 0.027836796074907744)","('SERVO_ROB_POSMIN', 0.0032121417579741296)","('EK2_BCN_DELAY', 0.006974768043134683)","('RALLY_LIMIT_KM', 0.009244750673509827)","('OA_OPTIONS', 0.008203455475255028)","('BARO_FLTR_RNG', 0.013612828224402906)","('COMPASS_ORIENT', 0.022982979457789043)","('EK3_GPS_CHECK', 0.008689426525935517)","('BRD_RADIO_STKMD', 0.008789265645180788)","('EK2_GPS_CHECK', 0.0058346302710672315)","('TMODE_TRIM_AUTO', 0.013701538318039108)","('AUTO_OPTIONS', 0.012722574938016762)","('RNGFND6_SCALING', 0.00132136788908932)","('RNGFND5_SCALING', 0.0017705711331064133)","('COMPASS_ORIENT2', 0.005441144027606759)","('SERVO_ROB_POSMIN', 0.007236106254646102)","('PLND_ENABLED', 0.019879654249638556)","('COMPASS_USE2', 0.06040890055169923)","('OSD3_HEADING_EN', 0.0036883628146787695)","('OSD1_CLIMBEFF_EN', 0.006400832768346687)","('ARMING_RUDDER', 0.011226588395518933)","('EK2_IMU_MASK', 0.020591787266067585)","('ADSB_LIST_RADIUS', 0.011058520963025398)","('BRD_HEAT_LOWMGN', 0.03024519808192505)","('EK2_IMU_MASK', 0.03359784029957358)"
9,"('AFS_QNH_PRESSURE', 0.002707899219642762)","('RCMAP_THROTTLE', 0.007276144667548445)","('WPNAV_TER_MARGIN', 0.001805934210975968)","('TMODE_FLAGS', 0.026099378778777882)","('ARMING_ACCTHRESH', 0.01455522227781414)","('GPS2_CAN_OVRIDE', 0.008407414709940775)","('EK2_BCN_DELAY', 0.003100315980943402)","('EK2_FLOW_DELAY', 0.006966334783261141)","('FOLL_OFS_X', 0.007260764061492564)","('AROT_TARG_SP', 0.007970752693538752)","('COMPASS_FLTR_RNG', 0.013612828224402906)","('COMPASS_ORIENT2', 0.020368366501207102)","('ZIGZ_LINE_NUM', 0.008178966665827625)","('EK2_GPS_CHECK', 0.008213785460499556)","('EK3_GPS_CHECK', 0.0058346302710672315)","('BRD_RADIO_STKMD', 0.013157864269950914)","('CIRCLE_OPTIONS', 0.010379284164292013)","('RNGFND7_SCALING', 0.00132136788908932)","('RNGFND6_SCALING', 0.0017705711331064133)","('COMPASS_ORIENT3', 0.005434554914563905)","('EK2_BCN_DELAY', 0.006984192340014683)","('LAND_REPOSITION', 0.018464028691820622)","('COMPASS_USE3', 0.05657869960927164)","('OSD4_HEADING_EN', 0.0036883628146787695)","('OSD2_CLIMBEFF_EN', 0.006400832768346687)","('THROW_MOT_START', 0.010375520221870937)","('FLTMODE_CH', 0.004479166032682169)","('WPNAV_RFND_USE', 0.011046998528003615)","('OSD1_SATS_EN', 0.026850029153050903)","('EK3_SRC2_POSZ', 0.02511348423924864)"
