,range_params
0,RTL_ALT
1,ARMING_ACCTHRESH
2,ZIGZ_SIDE_DIST
3,CAM_SERVO_ON
4,FENCE_RADIUS
5,MOT_BOOST_SCALE
6,ATC_SLEW_YAW
7,CAM_SERVO_OFF
8,CHUTE_ALT_MIN
9,RTL_CLIMB_MIN
10,OA_DB_ALT_MIN
11,RTL_SPEED
12,RTL_LOIT_TIME
13,RTL_CONE_SLOPE
14,RNGFND1_WSP_MAVG
15,RNGFND2_WSP_MAVG
16,RNGFND3_WSP_MAVG
17,RNGFND4_WSP_MAVG
18,RNGFND5_WSP_MAVG
19,RNGFND6_WSP_MAVG
20,RNGFND7_WSP_MAVG
21,RNGFND8_WSP_MAVG
22,RNGFND9_WSP_MAVG
23,RNGFNDA_WSP_MAVG
24,ADSB_LIST_ALT
25,EK2_WIND_PSCALE
26,EK3_WIND_PSCALE
27,PILOT_TKOFF_ALT
28,WPNAV_TER_MARGIN
29,PSC_POSZ_P
30,EK2_RNG_USE_SPD
31,EK3_RNG_USE_SPD
32,RNGFND1_WSP_MEDF
33,RNGFND2_WSP_MEDF
34,RNGFND3_WSP_MEDF
35,RNGFND4_WSP_MEDF
36,RNGFND5_WSP_MEDF
37,RNGFND6_WSP_MEDF
38,RNGFND7_WSP_MEDF
39,RNGFND8_WSP_MEDF
40,RNGFND9_WSP_MEDF
41,RNGFNDA_WSP_MEDF
42,LGR_DEPLOY_ALT
43,EK2_CHECK_SCALE
44,EK3_CHECK_SCALE
45,LGR_RETRACT_ALT
46,EK3_GPS_VACC_MAX
47,INS_HNTC2_ATT
48,INS_HNTCH_ATT
49,ATC_ANG_LIM_TC
50,PILOT_ACCEL_Z
51,MNT_LEAD_PTCH
52,MNT2_LEAD_PTCH
53,FENCE_ALT_MAX
54,FENCE_ALT_MIN
55,BATT2_CURR_MULT
56,BATT3_CURR_MULT
57,BATT4_CURR_MULT
58,BATT5_CURR_MULT
59,BATT6_CURR_MULT
60,BATT7_CURR_MULT
61,BATT8_CURR_MULT
62,BATT9_CURR_MULT
63,BATT_CURR_MULT
64,WP_NAVALT_MIN
