,INS_HNTC2_ATT,INS_HNTCH_ATT,FOLL_SYSID,FOLL_OFS_Z,FOLL_POS_P,FOLL_OFS_X,FOLL_DIST_MAX,FOLL_OFS_Y,EK3_GPS_VACC_MAX,EK2_RNG_USE_HGT,EK3_RNG_USE_HGT,EK2_RNG_USE_SPD,EK3_RNG_USE_SPD,AHRS_YAW_P,ADSB_LIST_ALT,CHUTE_ALT_MIN,EK2_WIND_PSCALE,EK3_WIND_PSCALE,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,FS_DR_TIMEOUT,LGR_DEPLOY_ALT,LGR_RETRACT_ALT,ATC_ANG_LIM_TC
14:36:38.287,5.0,5.0,0.0,-99.0,0.8,25.0,1.0,71.0,0.8,52.0,17.0,6.0,4.5,0.25,0.0,25828.0,0.9,1.2,770.0,1.0,0.1,0.0,866.0,977.0,0.5
14:36:44.075,5.0,5.0,0.0,91.0,0.93,-24.0,1.0,-17.0,1.9,47.0,62.0,4.5,5.5,0.37,0.0,6577.0,0.9,1.4,20.0,1.0,0.1,0.0,318.0,940.0,0.5
14:36:49.987,5.0,5.0,0.0,-38.0,0.86,25.0,1.0,99.0,5.7,62.0,46.0,6.0,4.5,0.27,0.0,12902.0,0.5,1.3,130.0,1.0,0.1,0.0,201.0,886.0,0.5
14:36:54.839,5.0,5.0,0.0,77.0,0.79,92.0,1.0,-89.0,9.4,28.0,59.0,6.0,6.0,0.33,0.0,4584.0,0.5,0.9,810.0,1.0,0.1,0.0,653.0,927.0,0.5
14:37:00.172,5.0,5.0,0.0,-23.0,0.94,51.0,1.0,80.0,8.2,67.0,58.0,2.5,3.0,0.16,0.0,5278.0,0.9,1.4,550.0,1.0,0.1,0.0,825.0,972.0,0.5
14:37:05.919,5.0,5.0,0.0,22.0,0.33,72.0,1.0,-8.0,3.8,55.0,57.0,6.0,6.0,0.35,0.0,19935.0,0.5,1.3,500.0,1.0,0.1,0.0,867.0,424.0,0.5
14:37:10.765,5.0,5.0,0.0,52.0,0.99,25.0,1.0,37.0,9.6,68.0,14.0,3.0,6.0,0.31,0.0,26347.0,0.9,1.8,990.0,1.0,0.1,0.0,820.0,181.0,0.5
14:37:16.180,5.0,5.0,0.0,67.0,0.56,-44.0,1.0,75.0,9.9,61.0,3.0,5.0,6.0,0.35,0.0,21671.0,0.9,1.1,690.0,1.0,0.1,0.0,215.0,992.0,0.5
14:37:22.311,5.0,5.0,0.0,3.0,0.58,60.0,1.0,89.0,6.9,14.0,23.0,6.0,6.0,0.21,0.0,30518.0,0.5,2.0,520.0,1.0,0.1,0.0,950.0,686.0,0.5
14:37:28.093,5.0,5.0,0.0,-56.0,0.2,1.0,1.0,91.0,6.9,35.0,29.0,2.5,6.0,0.31,0.0,12556.0,0.3,1.8,470.0,1.0,0.1,0.0,991.0,944.0,0.5
14:37:34.141,5.0,5.0,0.0,47.0,0.96,100.0,1.0,-76.0,9.9,14.0,20.0,5.0,5.0,0.17,0.0,24601.0,0.7,0.2,610.0,1.0,0.1,0.0,555.0,840.0,0.5
