,ADSB_LIST_ALT,ADSB_LIST_RADIUS,FOLL_DIST_MAX,COMPASS_CUS_ROLL,ACRO_RP_EXPO,PILOT_TKOFF_ALT,ACRO_Y_EXPO,PILOT_Y_EXPO,AHRS_CUSTOM_ROLL,IM_STB_COL_1,IM_STB_COL_4,H_CYC_MAX,LOIT_BRK_ACCEL,TMODE_TRIM_AUTO,IM_STB_COL_2,IM_STB_COL_3,EK3_GSF_RST_MAX,ATC_RAT_YAW_P,ATC_ANG_YAW_P,EK2_GSF_RST_MAX,ATC_RAT_YAW_I,ATC_RAT_YAW_D,FHLD_BRAKE_RATE,COMPASS_CUS_YAW,AHRS_CUSTOM_YAW
14:33:54.372,30427.10790157576,40869.25172239777,601.5851149654059,178.0,0.5348965532189602,990.0,-0.8444897784729547,0.3808391542231706,-67.0,80.0,21.0,4100.0,49.0,37.1157907513442,10.0,9.0,8.0,0.5,8.738440096431276,6.0,0.13,0.0,23.496816222683776,-114.0,30.0
14:33:57.814,8763.846545995379,19748.63610198707,743.6866750200948,5.0,-0.42042330629463437,520.0,-0.1406084645134027,0.26745107431591153,-63.0,44.0,88.0,4100.0,114.0,25.004691754659746,9.0,70.0,5.0,0.34,3.0279287932232175,8.0,0.2,0.01,9.816246206674249,-143.0,-43.0
14:34:00.818,1683.9424237583885,96278.56742964174,824.2286816058705,-30.0,-0.38764654602929216,820.0,-0.7135083881156521,-0.05563564962467643,155.0,89.0,37.0,1200.0,241.0,1.847623309870483,42.0,78.0,9.0,0.24,8.081257761371136,8.0,0.06,0.01,21.492214122956696,-20.0,29.0
14:34:03.822,16933.711213576,59270.74208156747,356.8667487998885,-159.0,0.8562289193377388,130.0,0.6685640373249004,0.4593275026576795,-165.0,9.0,47.0,4400.0,169.0,25.17663331948713,6.0,82.0,9.0,0.3,10.621305169420506,10.0,0.18,0.02,26.782761840833995,-29.0,79.0
14:34:06.827,22456.712239210206,16664.483433568268,772.6420614672489,33.0,-0.12503458505730825,750.0,-0.48801959113376947,-0.3529478340615601,-58.0,14.0,38.0,4400.0,149.0,21.02392419970839,38.0,100.0,7.0,0.38,6.161300002738855,5.0,0.1,0.01,11.049288079187317,152.0,-24.0
14:34:09.831,3540.1583478588755,19623.255985217213,817.2715107113655,-35.0,-0.3602778906230356,430.0,-0.8426769046535136,0.05722351553234084,-135.0,10.0,45.0,4000.0,175.0,71.34020095869343,31.0,34.0,4.0,0.35,3.987081482143084,6.0,0.12,0.02,20.779166967739634,-128.0,-120.0
14:34:12.835,25740.531260402156,77703.1441296818,230.19644171282033,-83.0,0.3143540925145264,390.0,-0.7237614347876695,-0.38137191989462366,-5.0,11.0,99.0,3000.0,204.0,65.04177107382125,76.0,67.0,4.0,0.28,6.897811681059888,2.0,0.06,0.02,11.469536599299584,-72.0,-91.0
14:34:15.838,873.7935140905079,87142.23871267802,155.36126611699382,42.0,0.2161119837285317,140.0,-0.9264274031616516,0.2306182412149287,-121.0,62.0,18.0,3800.0,107.0,58.4324693267724,83.0,29.0,10.0,0.21,9.62523319423843,9.0,0.16,0.0,12.081838223941704,13.0,72.0
14:34:18.843,24469.182205001307,60258.38973656668,479.6732711926067,-5.0,0.8091508384831949,460.0,0.22023991238827367,0.7629643304532354,31.0,56.0,34.0,800.0,125.0,83.46940960624809,90.0,57.0,8.0,0.39,3.9164717137813416,8.0,0.1,0.01,10.209878729416934,-93.0,-143.0
14:34:21.846,1333.6745763882464,66121.839700322,187.4670336243908,78.0,-0.13789496020806674,540.0,-0.05208916475809344,0.041050786433626474,138.0,61.0,16.0,700.0,156.0,54.980243231526536,42.0,21.0,2.0,0.26,9.678609218812136,3.0,0.08,0.0,21.279348585950984,120.0,1.0
