,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN,OA_DB_ALT_MIN,RTL_SPEED,RTL_CONE_SLOPE,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG,RNGFND7_WSP_MAVG
06:36:18.897,175490.0,2.8507651280298356,4.458144912504597,1780.1013088235704,6921.335611231613,1.0,14900.0,1907.9917542773833,12345.0,2230.0,1.6193381031035012,250.0,5.4,118.93924640166492,130.25984816125273,244.44372052462575,145.19768134010536,243.68000026384152,35.791607907382804,74.15194429054961
06:36:21.912,247562.0,0.3159416550362908,14.193231494566652,1374.0877325839647,6967.6493935763665,0.1,5100.0,1310.0931678496727,16117.0,1690.0,0.5650118055972637,100.0,10.0,189.96103702223363,121.53277163962196,197.43842936793206,205.93666854646764,20.623627904838038,216.85351563145693,91.95491612129827
06:36:24.923,228926.0,0.5651862309118014,91.47781734315286,1105.9498798593406,9033.595487801065,2.0,13200.0,1394.0442464624982,8881.0,380.0,3.933976033294454,200.0,7.9,237.6157702305745,219.09903024151274,102.07546679627956,241.21161038165988,191.1503888322721,94.40797894353427,246.93965924030823
06:36:27.937,6340.0,1.4062489475942146,48.67936719590778,1219.312344370458,3819.303775552278,4.0,6600.0,1227.1671700225347,25135.0,2800.0,2.2126760522040034,1300.0,3.6,42.11574272884114,148.60852592769706,129.77475504519506,247.87271049353424,188.21860984382698,118.13912354174359,26.523598534961856
06:36:30.944,101316.0,2.442063619604857,97.4282652542156,1149.758000168968,3446.8424822504276,1.9,15900.0,1327.5278120057344,7174.0,990.0,3.515017565016133,300.0,1.9,148.4693421056041,241.01852893121838,130.82164287715784,117.68793731411466,176.42844659845207,104.2193557013368,82.14526756823747
06:36:33.959,250050.0,1.7485591009285237,85.7624189481667,1315.6282410177705,5767.535703590586,0.2,12900.0,1402.6641178407353,28091.0,2320.0,3.3153944801261552,1400.0,1.1,28.380938195252554,112.0106548682069,61.28454585035616,167.50271551433732,127.6926322568043,90.10540184659563,54.309482972542774
06:36:36.974,252096.0,1.9798604481495226,45.73727488535928,1218.0915533612915,1972.9289657489617,1.7,10000.0,1224.4028214399934,25963.0,750.0,1.5884514496711715,1100.0,0.8,106.03759422351663,92.61221850731624,206.47718902296555,219.11093816335116,204.58970516064304,64.46266508624961,8.578853671765494
06:36:39.978,14255.0,1.513988916933335,48.35887896681009,1881.6194143674084,7710.333748331658,3.7,12100.0,1287.2208032388623,19358.0,80.0,1.6882823877917605,400.0,1.0,252.6602001174618,169.95159004998058,61.99406396508807,12.694314667580349,166.57905636529554,222.18136196195786,191.66434793044206
06:36:42.990,181178.0,0.46524745832665126,31.227044284474403,1445.0120668711745,9572.69157417011,0.7,13400.0,1668.3412490794065,8087.0,2450.0,3.9807429320372942,1150.0,4.8,235.725305597124,21.798666918096146,128.47749676232445,24.976478633244906,167.09095229954366,120.31786105898773,244.49867330682216
06:36:46.006,260077.0,1.4685130308109449,46.42388299603279,1206.906597401011,2486.88147780336,1.2,17400.0,1395.0260473861954,24927.0,2680.0,3.214791089223287,250.0,2.5,13.53985936886227,113.51951075625223,249.14282250782082,254.28820634793263,109.36152998736519,6.248083853449101,4.720469478844766
06:36:49.012,117334.0,2.9130771185628115,57.98862900968146,1876.099372202098,3228.673305293119,4.4,16400.0,1691.8057966541865,1576.0,2470.0,0.45695271914627833,1250.0,5.1,209.95536235575565,226.8983172968902,81.82223226719988,205.46397351425793,183.49446919728146,66.48038357797749,118.72109860044002
06:36:52.029,279556.0,0.4928999674399621,48.79748233844245,1339.462339177132,4337.632705889911,2.9,9700.0,1604.3267881286733,13886.0,2110.0,0.623346052343908,800.0,4.9,195.33760906240673,75.22215233855786,85.32502685891542,147.40637180585716,40.1592105701273,150.71406945283778,246.27929134058937
06:36:55.047,283386.0,2.9906092626871694,94.80111914033228,1589.9024055429481,7455.474874986973,1.3,18000.0,1815.3317302916755,23862.0,1480.0,3.1954960505671783,1850.0,1.1,163.39204614261627,9.201776804014807,34.297866105140706,0.4608036390153736,118.68593894934335,96.83663873155022,198.75711090202532
