,INS_HNTC2_ATT,INS_HNTCH_ATT,FOLL_SYSID,FOLL_OFS_Z,FOLL_POS_P,FOLL_OFS_X,FOLL_DIST_MAX,FOLL_OFS_Y,EK3_GPS_VACC_MAX,EK2_RNG_USE_HGT,EK3_RNG_USE_HGT,EK2_RNG_USE_SPD,EK3_RNG_USE_SPD,AHRS_YAW_P,ADSB_LIST_ALT,CHUTE_ALT_MIN,EK2_WIND_PSCALE,EK3_WIND_PSCALE,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,FS_DR_TIMEOUT,LGR_DEPLOY_ALT,LGR_RETRACT_ALT,ATC_ANG_LIM_TC
13:57:01.276,5.0,5.0,0.0,59.0,0.44,14.0,1.0,42.0,9.0,47.0,58.0,5.0,2.5,0.39,0.0,31726.0,0.9,1.7,320.0,1.0,0.1,0.0,881.0,800.0,0.5
13:57:07.425,5.0,5.0,0.0,88.0,0.97,3.0,1.0,96.0,8.3,26.0,67.0,5.0,5.0,0.33,0.0,7560.0,0.7,1.3,340.0,1.0,0.1,0.0,955.0,672.0,0.5
13:57:13.282,5.0,5.0,0.0,55.0,0.32,100.0,1.0,-55.0,2.1,68.0,23.0,5.0,6.0,0.27,0.0,30667.0,1.1,0.2,500.0,1.0,0.1,0.0,630.0,894.0,0.5
13:57:19.356,5.0,5.0,0.0,-62.0,0.47,5.0,1.0,4.0,2.1,31.0,69.0,4.5,6.0,0.35,0.0,23953.0,0.3,1.7,830.0,1.0,0.1,0.0,431.0,710.0,0.5
13:57:25.450,5.0,5.0,0.0,-69.0,0.68,92.0,1.0,87.0,3.8,15.0,58.0,5.5,3.0,0.37,0.0,26931.0,1.1,1.3,280.0,1.0,0.1,0.0,681.0,904.0,0.5
13:57:31.382,5.0,5.0,0.0,-10.0,0.35,87.0,1.0,61.0,7.5,50.0,59.0,2.5,6.0,0.12,0.0,24181.0,1.1,0.7,310.0,1.0,0.1,0.0,866.0,620.0,0.5
13:57:37.190,5.0,5.0,0.0,-6.0,0.41,6.0,1.0,80.0,4.7,34.0,62.0,3.0,3.5,0.33,0.0,30423.0,0.9,0.5,510.0,1.0,0.1,0.0,274.0,714.0,0.5
13:57:43.076,5.0,5.0,0.0,18.0,0.8,91.0,1.0,8.0,8.2,69.0,62.0,5.0,4.5,0.13,0.0,22715.0,1.1,1.9,440.0,1.0,0.1,0.0,401.0,830.0,0.5
13:57:48.522,5.0,5.0,0.0,-6.0,0.93,67.0,1.0,74.0,2.5,57.0,62.0,4.0,5.0,0.23,0.0,30997.0,0.5,1.3,930.0,1.0,0.1,0.0,364.0,4.0,0.5
13:57:53.587,5.0,5.0,0.0,63.0,0.85,42.0,1.0,76.0,9.2,44.0,66.0,3.5,5.5,0.33,0.0,10299.0,0.7,1.7,30.0,1.0,0.1,0.0,524.0,754.0,0.5
13:57:58.570,5.0,5.0,0.0,84.0,0.02,63.0,1.0,88.0,9.6,39.0,66.0,6.0,3.0,0.33,0.0,29965.0,0.9,0.3,520.0,1.0,0.1,0.0,852.0,343.0,0.5
13:58:03.645,5.0,5.0,0.0,4.0,0.86,41.0,1.0,35.0,8.1,62.0,46.0,6.0,5.5,0.37,0.0,4316.0,0.2,1.8,370.0,1.0,0.1,0.0,755.0,473.0,0.5
13:58:10.687,5.0,5.0,0.0,96.0,0.96,-17.0,1.0,45.0,6.5,61.0,63.0,6.0,6.0,0.23,0.0,24584.0,0.5,1.7,770.0,1.0,0.1,0.0,13.0,698.0,0.5
13:58:15.812,5.0,5.0,0.0,88.0,0.14,86.0,1.0,100.0,7.5,20.0,64.0,6.0,4.0,0.29,0.0,29039.0,0.7,1.4,370.0,1.0,0.1,0.0,484.0,860.0,0.5
13:58:21.197,5.0,5.0,0.0,-58.0,0.49,-5.0,1.0,52.0,8.0,66.0,51.0,4.5,6.0,0.27,0.0,16758.0,0.3,2.0,470.0,1.0,0.1,0.0,234.0,522.0,0.5
13:58:27.291,5.0,5.0,0.0,13.0,0.96,15.0,1.0,-68.0,8.2,46.0,68.0,5.5,5.5,0.25,0.0,7992.0,1.1,1.8,690.0,1.0,0.1,0.0,834.0,195.0,0.5
13:58:33.052,5.0,5.0,0.0,-62.0,0.91,-79.0,1.0,-79.0,0.8,55.0,3.0,5.5,3.5,0.12,0.0,1915.0,0.9,1.1,440.0,1.0,0.1,0.0,14.0,597.0,0.5
13:58:39.243,5.0,5.0,0.0,65.0,0.92,67.0,1.0,-97.0,4.4,26.0,52.0,4.5,4.5,0.31,0.0,23764.0,0.3,2.0,750.0,1.0,0.1,0.0,436.0,979.0,0.5
13:58:45.499,5.0,5.0,0.0,4.0,0.65,84.0,1.0,61.0,1.6,34.0,63.0,6.0,5.5,0.23,0.0,26042.0,0.7,1.4,110.0,1.0,0.1,0.0,967.0,803.0,0.5
13:58:52.270,5.0,5.0,0.0,28.0,0.62,84.0,1.0,-75.0,1.9,15.0,45.0,3.5,5.0,0.29,0.0,31827.0,0.5,1.4,750.0,1.0,0.1,0.0,694.0,875.0,0.5
13:58:57.200,5.0,5.0,0.0,-92.0,0.99,-79.0,1.0,63.0,10.0,52.0,70.0,5.0,3.0,0.33,0.0,30511.0,1.1,0.9,590.0,1.0,0.1,0.0,297.0,903.0,0.5
